Time,Object Name,Status,Value,Units,Alert ID,Priority
18.03.2023 9:21:58,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:58,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:58,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:22:00,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:22:00,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:22:00,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:22:00,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:22:00,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:22:02,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:22:02,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:22:02,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:22:02,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:22:02,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:22:04,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:22:04,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:22:04,TIC Turbo Power,,6.5,,0,0
18.03.2023 9:22:04,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:22:04,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:22:06,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:22:06,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:22:06,TIC Turbo Power,,7.5,,0,0
18.03.2023 9:22:06,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:22:06,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:22:08,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:22:08,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:22:08,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:22:08,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:22:09,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:22:10,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:22:10,TIC Turbo Power,,7.5,,0,0
18.03.2023 9:22:10,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:22:11,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:22:11,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:22:12,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:22:12,TIC Turbo Speed,,1.6,,0,0
