Time,Object Name,Status,Value,Units,Alert ID,Priority
20.03.2023 9:27:32,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:32,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:32,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:33,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:34,TIC Turbo Power,,6.5,,0,0
20.03.2023 9:27:34,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:34,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:34,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:35,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:36,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:36,TIC Turbo Power,,8.4,,0,0
20.03.2023 9:27:36,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:36,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:38,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:38,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:38,TIC Turbo Power,,7.5,,0,0
20.03.2023 9:27:38,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:38,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:40,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:40,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:27:40,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:40,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:40,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:42,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:42,TIC Turbo Power,,8.2,,0,0
20.03.2023 9:27:42,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:42,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:42,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:44,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:44,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:44,TIC Turbo Power,,7.5,,0,0
20.03.2023 9:27:44,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:44,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:46,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:46,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:46,TIC Turbo Power,,7.3,,0,0
20.03.2023 9:27:46,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:46,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:48,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:48,TIC Turbo Power,,6.5,,0,0
20.03.2023 9:27:48,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:48,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:48,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:50,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:50,TIC Turbo Power,,8.2,,0,0
20.03.2023 9:27:50,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:50,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:50,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:52,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:52,TIC Turbo Power,,5.8,,0,0
20.03.2023 9:27:52,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:52,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:52,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:54,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:54,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:54,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:27:54,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:54,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:56,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:56,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:56,TIC Turbo Power,,7.0,,0,0
20.03.2023 9:27:56,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:56,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:58,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:58,TIC Turbo Power,,8.4,,0,0
20.03.2023 9:27:58,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:58,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:59,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:00,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:00,TIC Turbo Power,,6.8,,0,0
20.03.2023 9:28:00,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:28:00,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:00,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:02,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:02,TIC Turbo Power,,6.5,,0,0
20.03.2023 9:28:02,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:28:02,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:03,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:04,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:04,TIC Turbo Power,,6.5,,0,0
20.03.2023 9:28:04,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:28:05,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:05,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:06,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:06,TIC Turbo Power,,7.0,,0,0
20.03.2023 9:28:07,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:28:07,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:07,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:08,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:08,TIC Turbo Power,,8.0,,0,0
20.03.2023 9:28:09,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:28:09,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:09,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:11,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:11,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:11,TIC Turbo Power,,8.0,,0,0
20.03.2023 9:28:11,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:28:11,TIC Gauge 2,5,9.9000e+09,59,0,0
